Date,T,P0,U,Ff
23.01.2023 23:30,0,760.3,93,3
23.01.2023 23:00,2,760.4,87,2
23.01.2023 22:30,1,760.4,93,3
23.01.2023 22:00,1,759.6,100,3
23.01.2023 21:30,2,759.6,87,3
23.01.2023 21:00,1,759.6,93,3
23.01.2023 20:30,2,759.6,93,1
23.01.2023 20:00,3,759.7,87,2
23.01.2023 19:30,3,759.7,87,2
23.01.2023 19:00,3,759.7,87,2
23.01.2023 18:30,3,758.9,87,2
23.01.2023 18:00,3,758.9,87,2
23.01.2023 17:30,3,758.9,87,2
23.01.2023 17:00,3,758.9,87,1
23.01.2023 16:30,4,758.9,87,3
23.01.2023 16:00,5,758.3,81,2
23.01.2023 15:30,5,758.3,81,3
23.01.2023 15:00,6,758.3,76,3
23.01.2023 14:30,6,758.3,76,3
23.01.2023 14:00,5,758.3,81,3
23.01.2023 13:30,5,758.3,81,3
23.01.2023 13:00,5,758.3,81,3
23.01.2023 12:30,5,759,76,3
23.01.2023 12:00,4,758.9,81,3
23.01.2023 11:30,4,758.9,81,3
23.01.2023 11:00,3,758.9,87,3
23.01.2023 10:30,3,758.9,81,4
23.01.2023 10:00,2,758.8,87,3
23.01.2023 09:30,2,758.8,87,2
23.01.2023 09:00,2,758.8,87,3
23.01.2023 08:30,2,758.8,87,3
23.01.2023 08:00,2,758.2,87,4
23.01.2023 07:30,1,758.1,87,4
23.01.2023 07:00,1,758.1,87,4
23.01.2023 06:30,1,758.1,87,3
23.01.2023 06:00,2,757.4,87,4
23.01.2023 05:30,2,757.4,87,4
23.01.2023 05:00,1,758.1,93,2
23.01.2023 04:30,2,758.2,93,2
23.01.2023 04:00,1,758.1,93,1
23.01.2023 03:30,1,758.1,93,1
23.01.2023 03:00,2,758.8,87,1
23.01.2023 02:30,2,758.2,87,4
23.01.2023 02:00,2,758.2,87,5
23.01.2023 01:30,2,758.8,87,5
23.01.2023 01:00,2,758.2,87,5
23.01.2023 00:30,2,758.8,87,5
23.01.2023 00:00,2,758.8,87,5
22.01.2023 23:30,2,758.8,87,4
22.01.2023 23:00,2,758.2,87,5
22.01.2023 22:30,1,758.1,93,4
22.01.2023 22:00,1,758.1,93,4
22.01.2023 21:30,1,758.1,93,4
22.01.2023 21:00,1,758.1,93,3
22.01.2023 20:30,1,758.1,93,4
22.01.2023 20:00,1,757.3,93,3
22.01.2023 19:30,1,757.3,93,3
22.01.2023 19:00,1,757.3,93,3
22.01.2023 18:30,1,757.3,93,4
22.01.2023 18:00,1,756.6,93,4
22.01.2023 17:30,1,756.6,93,5
22.01.2023 17:00,1,756.6,93,4
22.01.2023 16:30,1,755.9,93,4
22.01.2023 16:00,1,755.9,93,4
22.01.2023 15:30,1,755.9,93,4
22.01.2023 15:00,1,755.1,93,4
22.01.2023 14:30,1,755.1,93,3
22.01.2023 14:00,1,755.1,93,3
22.01.2023 13:30,1,754.4,93,4
22.01.2023 13:00,1,754.4,93,4
22.01.2023 12:30,1,754.4,93,3
22.01.2023 12:00,1,754.4,93,4
22.01.2023 11:30,1,754.4,93,4
22.01.2023 11:00,1,754.4,93,4
22.01.2023 10:30,1,754.4,93,3
22.01.2023 10:00,0,753.5,100,3
22.01.2023 09:30,0,753.5,100,3
22.01.2023 09:00,0,753.5,93,4
22.01.2023 08:30,0,753.5,93,3
22.01.2023 08:00,0,752.8,93,3
22.01.2023 07:30,0,752.8,93,5
22.01.2023 07:00,0,752.8,93,5
22.01.2023 06:30,0,752.8,93,4
22.01.2023 06:00,0,752.8,93,1
22.01.2023 05:30,1,752.8,81,3
22.01.2023 05:00,1,752.1,81,4
22.01.2023 04:30,1,752.1,81,5
22.01.2023 04:00,1,752.1,81,5
22.01.2023 03:30,1,752.8,81,6
22.01.2023 03:00,1,752.8,81,5
22.01.2023 02:30,1,752.8,81,4
22.01.2023 02:00,1,752.8,81,4
22.01.2023 01:30,1,752.8,81,4
22.01.2023 01:00,1,752.1,81,3
22.01.2023 00:30,1,752.1,81,3
22.01.2023 00:00,1,752.8,81,2
21.01.2023 23:30,1,752.8,81,3
21.01.2023 23:00,1,752.8,75,4
21.01.2023 22:30,1,752.1,81,3
21.01.2023 22:00,1,752.1,81,3
21.01.2023 21:30,1,752.1,75,3
21.01.2023 21:00,1,752.1,75,2
21.01.2023 20:30,1,752.1,75,2
21.01.2023 20:00,1,751.3,75,3
21.01.2023 19:30,1,751.3,75,2
21.01.2023 19:00,1,751.3,75,2
21.01.2023 18:30,1,751.3,75,3
21.01.2023 18:00,1,750.6,75,3
21.01.2023 17:30,1,750.6,75,3
21.01.2023 17:00,1,750.6,75,4
21.01.2023 16:30,1,750.6,75,4
21.01.2023 16:00,1,750.6,75,3
21.01.2023 15:30,1,749.8,75,3
21.01.2023 15:00,1,749.8,75,4
21.01.2023 14:30,2,749.9,70,4
21.01.2023 14:00,2,749.1,70,4
21.01.2023 13:30,2,749.1,70,5
21.01.2023 13:00,1,749.1,75,5
21.01.2023 12:30,1,749.1,75,5
21.01.2023 12:00,1,749.1,75,7
21.01.2023 11:30,1,749.1,75,6
21.01.2023 11:00,1,749.1,75,6
21.01.2023 10:30,1,749.1,75,7
21.01.2023 10:00,1,749.1,75,6
21.01.2023 09:30,0,749,80,6
21.01.2023 09:00,0,749,80,6
21.01.2023 08:30,0,748.3,80,6
21.01.2023 08:00,0,748.3,80,8
21.01.2023 07:30,0,748.3,80,6
21.01.2023 07:00,0,747.5,80,8
21.01.2023 06:30,0,747.5,87,8
21.01.2023 06:00,0,746.9,87,9
21.01.2023 05:30,1,746.9,81,9
21.01.2023 05:00,1,746.9,81,9
21.01.2023 04:30,1,746.9,81,9
21.01.2023 04:00,1,746.9,81,9
21.01.2023 03:30,1,746.9,81,10
21.01.2023 03:00,1,746.9,81,10
21.01.2023 02:30,1,746.9,81,9
21.01.2023 02:00,0,746.9,87,8
21.01.2023 01:30,0,746.9,87,8
21.01.2023 01:00,0,747.5,87,7
21.01.2023 00:30,0,747.5,87,6
21.01.2023 00:00,0,747.5,87,6
20.01.2023 23:30,0,747.5,87,7
20.01.2023 23:00,0,747.5,87,6
20.01.2023 22:30,0,746.9,87,7
20.01.2023 22:00,1,746.9,75,7
20.01.2023 21:30,1,746.9,75,8
20.01.2023 21:00,1,746.9,75,9
20.01.2023 20:30,1,746.9,75,7
20.01.2023 20:00,2,746.9,65,9
20.01.2023 19:30,2,746.9,65,9
20.01.2023 19:00,2,746.9,65,9
20.01.2023 18:30,2,746.9,65,9
